SMILES,vpa,Adduct,mz
C[C@H]1CNC(=O)NC1=O,78.36666666666666,[M+H]+,129.06585394809
C[C@H]1CNC(=O)NC1=O,78.36666666666666,[M+Na]+,151.04779819609
C[C@H]1CNC(=O)NC1=O,78.36666666666666,[M-H]-,127.05130104391
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,213.36666666666665,[M+H]+,483.9917885340903
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,213.36666666666665,[M+Na]+,505.9737327820903
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,213.36666666666665,[M-H]-,481.97723562991024
NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1,147.03333333333336,[M+H]+,268.10403034809036
NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1,147.03333333333336,[M+Na]+,290.08597459609035
NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1,147.03333333333336,[M-H]-,266.0894774439103
C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO,147.23333333333332,[M+H]+,258.1101004420901
C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO,147.23333333333332,[M+Na]+,280.09204469009006
C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO,147.23333333333332,[M-H]-,256.09554753791
CNC,42.13333333333333,[M+H]+,46.06512567608999
CNC,42.13333333333333,[M+Na]+,68.04706992409
CNC,42.13333333333333,[M-H]-,44.05057277191
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,132.03333333333336,[M+H]+,244.09279696809
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,132.03333333333336,[M+Na]+,266.07474121609
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,132.03333333333336,[M-H]-,242.07824406391
CN(C)CC(O)=O,69.8,[M+H]+,104.07060498009
CN(C)CC(O)=O,69.8,[M+Na]+,126.05254922809
CN(C)CC(O)=O,69.8,[M-H]-,102.05605207591
OC(=O)CC(O)(CC(O)=O)C(O)=O,98.29999999999998,[M+H]+,193.03427904809
OC(=O)CC(O)(CC(O)=O)C(O)=O,98.29999999999998,[M+Na]+,215.01622329609
OC(=O)CC(O)(CC(O)=O)C(O)=O,98.29999999999998,[M-H]-,191.01972614391002
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,161.3,[M+H]+,324.05912749009036
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,161.3,[M+Na]+,346.04107173809035
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,161.3,[M-H]-,322.0445745859103
