SMILES,Adduct,True CCS,vpa,bond_lengths
c1ccc(cc1)[C@H](C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O,[M+Na]+,210.7417565,241.2,"[1.3944372744717681, 1.3966155927545658, 1.4063873220959704, 1.404865054269159, 1.3981395475760292, 1.518898164314872, 1.4860779863410956, 1.1650951710528632, 1.4278650690802654, 1.4272251272798555, 1.5398520728799323, 1.5249521650174147, 1.539718641364838, 1.5386281740255277, 1.4384994038509478, 1.5452698112218837, 1.4246083889715246, 1.430317681541161, 1.556086540520776, 1.5376618806071147, 1.5466977268304234, 1.545555885051357, 1.4310248286335747, 1.5330554954900457, 1.4314198923362504, 1.4375280256360456, 1.43158676731874, 1.4425876222318346, 1.4447744887347846, 1.4435594334255135, 1.4419204147181013, 1.3933194358166967, 1.4298627789912297, 1.4241550104196212]"
COc1cc(cc(c1OC)OC)CC=C,[M+H]+,144.7647538,138.8,"[1.4204548356784445, 1.3713290775797544, 1.3970577623039526, 1.4048781504849754, 1.40538295431782, 1.3965614681515144, 1.4051125880476707, 1.3788535464807492, 1.4262079048777851, 1.371261313021895, 1.4207315238407847, 1.5119815055351555, 1.50236559654137, 1.339641987505563, 1.405460136263146]"
COC1=C(C=CC(=C1)C=CC(=O)NCCC2=CC=C(C=C2)O)O,[M+H]+,181.2849848,185.13333333333333,"[1.4207402340524347, 1.3702089530814543, 1.4017709249789172, 1.3946251110181067, 1.394955999095484, 1.3985922795631374, 1.403680219114091, 1.4663644387907246, 1.3432345750908998, 1.4854343235115282, 1.2254445493756967, 1.365726839637781, 1.4495560596324206, 1.5320686630190048, 1.5123249565818642, 1.4019349788497284, 1.395539737956592, 1.3893629987385119, 1.39071203419994, 1.3965100958498338, 1.3635456746330197, 1.3696110495506906, 1.3983913095047211, 1.4028320858821757]"
COC1=C(C=CC(=C1)C=CC(=O)NCCC2=CC=C(C=C2)O)O,[M+Na]+,191.6993906,187.06666666666666,"[1.4266169177496044, 1.3704419211551022, 1.397343152993532, 1.3934230521019735, 1.3978359463255459, 1.401088984575209, 1.3998177379362184, 1.4663350608813244, 1.3426994919189401, 1.4846256236034627, 1.225427731487974, 1.3680892614658995, 1.4509008667831487, 1.5310333884941618, 1.512234525558846, 1.40227103882242, 1.3968877511208415, 1.3905964090766436, 1.3891357560514506, 1.3959733553526135, 1.3633951099965058, 1.3659768128833563, 1.396171171212136, 1.4022931281550544]"
CC1=C(C(=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O)OC)O,[M+H]+,158.7490827,162.73333333333332,"[1.5001993131916487, 1.3938245995231853, 1.4033946901909906, 1.403523755373368, 1.396261469542534, 1.406838698261998, 1.473942079037543, 1.225682328853037, 1.472954655562744, 1.3956578197202998, 1.487743331500298, 1.2239565126120162, 1.4048705382524405, 1.3990385953425386, 1.3924968161797253, 1.3921704778707393, 1.3658270668583117, 1.3734737041698908, 1.4326988163385554, 1.3700212150668964, 1.3985020874176581, 1.4862948635480193, 1.4036116994825318]"
CC1C(=O)CCC2C1(CCC3C2(CCC4(C3(CCC(C4)(C)CCC=C(C)C)C)C)C)C,[M+H]+,211.3403406,263.6333333333333,"[1.5335063951512036, 1.5150231612949, 1.2300635229837078, 1.5008451857081833, 1.5195296016682824, 1.5615439277339034, 1.572396848517212, 1.547289796017115, 1.5329304992541397, 1.5528702133329906, 1.5845973611023108, 1.5514277337439426, 1.518034807296561, 1.5637975150963086, 1.6114465076172184, 1.5745831068264213, 1.5186202245834513, 1.5247794346138475, 1.5374956357875338, 1.5473969119940432, 1.5705267187630298, 1.5424198411152792, 1.5011312791876752, 1.3471852467875782, 1.5066147025368493, 1.5036821772487239, 1.5711614181278077, 1.5572170203353854, 1.562637248199451, 1.5471742696671955, 1.5742733409720369, 1.6092574485590652, 1.6300292390037674, 1.5837778625554821]"
CC(=O)C=CC1=CC=CC=C1,[M+H]+,131.2423894,101.7,"[1.5047787470985645, 1.2316385568040717, 1.4878829829487072, 1.3411802855135784, 1.4627649914516485, 1.398834480308581, 1.3962927789461168, 1.3942332272524574, 1.394074027896882, 1.3961055834769296, 1.3997742883406497]"
CC(=O)OC5CC(=O)O[C@@](C)(C)[C@@H]6CC(=O)[C@]3(C)[C@H](CC[C@@]2(C)[C@@H](OC(=O)[C@H]1O[C@]123)c4ccoc4)[C@@]56C,[M+Na]+,223.3960715,262.26666666666665,"[1.4988383579336622, 1.2214958261055093, 1.3657445910258124, 1.4569265944162226, 1.529905333896951, 1.478721923709757, 1.2185734863843594, 1.352684028206948, 1.4325690602373873, 1.5465399830828637, 1.5418414529308633, 1.5888019901508172, 1.5406289715636583, 1.5011957222510222, 1.2302364982109217, 1.5281536421739015, 1.5474103791591516, 1.5763424526282148, 1.5472116033695222, 1.5322875654631092, 1.5397655922365363, 1.5488702406916466, 1.5783974602196134, 1.4529821353988908, 1.3662072885767822, 1.222863772296899, 1.4844389259175568, 1.4237498744915886, 1.4591607406890856, 1.5069066471838128, 1.4279922452584064, 1.3747804804248684, 1.35620410184643, 1.3562061991484642, 1.649066124598249, 1.540650690414394, 1.5320214606707443, 1.534247200705875, 1.5830374682244113, 1.3821268229061816, 1.6230004221588574, 1.6209590717375717]"
CC(=O)OC5CC(=O)O[C@@](C)(C)[C@@H]6CC(=O)[C@]3(C)[C@H](CC[C@@]2(C)[C@@H](OC(=O)[C@H]1O[C@]123)c4ccoc4)[C@@]56C,[M+H]+,217.1498165,261.26666666666665,"[1.4971709795845103, 1.2218198941979408, 1.3621342299556125, 1.450174742479565, 1.528125439543315, 1.4886790373264123, 1.2196486985241566, 1.351288137306349, 1.4381484668984792, 1.542722225843051, 1.5449902550874177, 1.586846488955229, 1.5410039672151956, 1.5060617373883698, 1.2297903390513962, 1.529608164371011, 1.545023921904274, 1.5687899168717019, 1.544753261208273, 1.5335862817501582, 1.5427276486545831, 1.549268611784341, 1.5816997396169357, 1.4521112808430576, 1.364481433377666, 1.223443847609921, 1.4841699082477138, 1.423399076440776, 1.4570350106276122, 1.5078131357871638, 1.426902695328785, 1.3742115650004225, 1.356090216815007, 1.356218194667541, 1.6320622053516034, 1.5419609024421055, 1.529157377814056, 1.536664948000048, 1.5806173886220782, 1.3822534874778039, 1.6082412153751904, 1.6082540337107334]"
COc1ccc2ccc(=O)oc2c1,[M+H]+,131.3901741,107.03333333333333,"[1.4226418872175528, 1.367524526301964, 1.4002871420768135, 1.399537332252153, 1.39350357795494, 1.4532015095950392, 1.3364786168441767, 1.4735750957473064, 1.2255846628400016, 1.3881771037076527, 1.4102466614955484, 1.3959332839451581, 1.3933156080900753, 1.3931695497510035]"
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1Oc1cc(c(c(c1)O)C(=O)CCc1cc(c(cc1)OC)O)O)CO)O)O)O)O)O,[M+H]+,233.956908,316.2666666666666,"[1.525771978901994, 1.5494901550541267, 1.5317668179646244, 1.5427223548525113, 1.5476497193405667, 1.4298517113755513, 1.4298103684591206, 1.4455493336736536, 1.5375333400616364, 1.5224509732417217, 1.5380987337911387, 1.4327088522054992, 1.4333220946553449, 1.4344618934912976, 1.3668265638978345, 1.394915349263772, 1.4022556106233452, 1.3986688712503046, 1.4033943476330921, 1.3914320096921895, 1.3712400362749042, 1.4872883044004954, 1.232782727479049, 1.517069800281108, 1.5273430301789879, 1.5089136353582047, 1.3975294322816212, 1.3907001318759085, 1.3986841616100723, 1.3930963976810393, 1.4008846265708674, 1.3711515018720373, 1.4245459749479967, 1.3688281004653648, 1.3648591227656632, 1.5360198367756916, 1.4256653703477347, 1.4356549115277975, 1.4369334408576693, 1.440423622746526, 1.43743994680179, 1.435898624092533, 1.4407190144305053, 1.5546949770265728, 1.3964317985419192, 1.4022924483508523]"
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1Oc1cc(c(c(c1)O)C(=O)CCc1cc(c(cc1)OC)O)O)CO)O)O)O)O)O,[M+Na]+,234.0231755,318.2,"[1.5255972397225142, 1.5392447472848478, 1.5432542408568637, 1.52897189053488, 1.539358120026246, 1.4228268365923404, 1.4335926208090324, 1.4450351017244538, 1.5421801643961204, 1.5340841662763, 1.5332917076816852, 1.4376452396386887, 1.431945633818173, 1.4400988556042176, 1.3665486535220357, 1.391257203491541, 1.3974421835336521, 1.4045723880747287, 1.3968443179626042, 1.3994557217521089, 1.3658119661238954, 1.4880198537038245, 1.2360516565757222, 1.517246280346819, 1.5257970234067058, 1.5085614891624686, 1.400129550250424, 1.3900843339395528, 1.3991338921760328, 1.3929262953985517, 1.4018154690781255, 1.3716279511170557, 1.423178076237972, 1.3703232325897003, 1.3723690921364327, 1.5362158883376835, 1.4294136763070067, 1.4371603078303294, 1.4344153852209833, 1.4389173601495764, 1.437181751434659, 1.4320145688412398, 1.4299485648571437, 1.5450949173348432, 1.3990410820409545, 1.4040674483062563]"
C[C@H]1[C@@H]([C@H]([C@@H](O)[C@@H](O1)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccc(c(c1)O)OC)O)O,[M+Na]+,237.0994995,312.9,"[1.5274509907558549, 1.5510627673569715, 1.5300943187868299, 1.539246457007755, 1.444026262752869, 1.5486999802618033, 1.4280128046280824, 1.43131477241137, 1.4433929847475624, 1.5410683975964279, 1.439187303516817, 1.5270448042025508, 1.437182606612054, 1.5386787755137707, 1.5361030468117503, 1.4264236922638855, 1.4320686408947736, 1.4389661928260218, 1.4359360299439061, 1.3673410810409385, 1.3945887606692842, 1.396977472022056, 1.3704170773393651, 1.4416689239807747, 1.5245596151984373, 1.503332753571688, 1.227881741437745, 1.4731443881405786, 1.395768345602278, 1.392244702874829, 1.367734655295064, 1.5217861353961983, 1.409698281334488, 1.4011698849252576, 1.391062564364331, 1.3998675209633962, 1.3931593866587224, 1.3725191429461117, 1.3699416020614072, 1.42307637996349, 1.4433922297168555, 1.4342016234378456, 1.432896075229329, 1.5536911104204671, 1.3978646434881952, 1.400404047717741, 1.3949670664329676]"
[C@@H]1([C@H](O)[C@@H]([C@H](O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2c2c(cc(c3c2oc(cc3=O)c2ccc(cc2)O)O)O)CO)O)O)O[C@@H]1C)O)O,[M+H]+,221.5399465,284.06666666666666,"[1.5392131076437991, 1.4410246380536036, 1.5353680104354028, 1.542696087207532, 1.4312326525018775, 1.4376309004945331, 1.5347133917709426, 1.5343896172549791, 1.5341632189597498, 1.4321633580733821, 1.437955096504604, 1.5216492002635182, 1.4054409184264702, 1.3963223959423783, 1.3899425705731365, 1.3972470757983153, 1.3957846066808732, 1.3745049010449513, 1.3834547630514944, 1.339874074363664, 1.4687741307349222, 1.2274064486656395, 1.4770884867740244, 1.4049375360172118, 1.4006756067220483, 1.3912420473830505, 1.387586994658921, 1.3972766094983469, 1.363266928473882, 1.369631591693252, 1.3693019498462908, 1.5370770457733136, 1.4250292756266898, 1.4379563777969857, 1.4422840676223279, 1.4297943154589732, 1.4288256370309136, 1.525689696313667, 1.444551403375632, 1.4421928211732653, 1.541197351979425, 1.5481683424067343, 1.410465491167853, 1.4037486343451238, 1.4681337144613453]"
